Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,OpenTime,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,CloseTime,feeSell,LastClosePrice,Profit,round,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0.0819999999999999,1.0,,1.0,32205956735.0,0.0517554999999999,1.0,1615006669.49424,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0825,1.0,,1.0,32205959729.0,0.0517554999999999,1.0,1615006671.45534,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.083,1.0,,1.0,32205960723.0,0.0517554999999999,1.0,1615006672.15217,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0835,1.0,,1.0,32205962715.0,0.0517554999999999,1.0,1615006673.09212,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.084,1.0,,1.0,32205964429.0,0.0517554999999999,1.0,1615006673.78506,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0845,1.0,,1.0,32205965796.0,0.0517554999999999,1.0,1615006674.64798,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.085,1.0,,1.0,32205968899.0,0.0517554999999999,1.0,1615006676.52394,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0855,1.0,,1.0,32205971378.0,0.0517554999999999,1.0,1615006678.11658,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.086,1.0,,1.0,32205974145.0,0.0517554999999999,1.0,1615006679.75329,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0865,1.0,,1.0,32205976121.0,0.0517554999999999,1.0,1615006680.97698,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.087,1.0,,1.0,32205978687.0,0.0517554999999999,1.0,1615006682.44779,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0875,1.0,,1.0,32207269516.0,0.051863,1.0,1615007369.16286,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.088,1.0,,1.0,32207270699.0,0.051863,1.0,1615007369.65256,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0885,1.0,,1.0,32207271726.0,0.051863,1.0,1615007370.03732,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.089,1.0,,1.0,32207273209.0,0.051863,1.0,1615007370.47805,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0895,1.0,,1.0,32207274263.0,0.051863,1.0,1615007370.88679,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.09,1.0,,1.0,32207275584.0,0.051863,1.0,1615007371.35502,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
